iter	Passed	Remaining
0	56	56863
1	57	28553
2	57	19119
3	57	14392
4	58	11558
5	58	9667
6	58	8325
7	58	7314
8	59	6526
9	59	5893
10	59	5375
11	60	4951
12	60	4585
13	60	4278
14	61	4010
15	61	3775
16	61	3564
17	61	3378
18	62	3211
19	62	3061
20	62	2924
21	62	2799
22	63	2686
23	63	2583
24	63	2488
25	64	2399
26	64	2317
27	64	2241
28	64	2170
29	65	2103
30	65	2042
31	65	1985
32	65	1932
33	66	1880
34	66	1831
35	66	1785
36	66	1742
37	67	1702
38	67	1662
39	67	1626
40	68	1591
41	68	1557
42	68	1526
43	68	1495
44	69	1466
45	69	1438
46	69	1411
47	69	1385
48	70	1361
49	70	1338
50	70	1316
51	70	1293
52	71	1272
53	72	1264
54	72	1244
55	72	1224
56	72	1206
57	73	1189
58	73	1171
59	73	1154
60	73	1137
61	74	1122
62	74	1107
63	74	1092
64	74	1077
65	75	1064
66	75	1051
67	75	1038
68	76	1025
69	76	1012
70	76	1001
71	76	989
72	77	977
73	77	966
74	77	955
75	77	945
76	77	934
77	78	924
78	78	915
79	78	905
80	78	896
81	79	887
82	79	876
83	79	868
84	79	859
85	80	851
86	80	843
87	80	835
88	80	827
89	81	819
90	81	812
91	81	804
92	81	797
93	81	790
94	82	783
95	82	777
96	82	770
97	82	763
98	83	756
99	83	750
100	83	744
101	83	738
102	84	733
103	84	729
104	85	725
105	85	721
106	85	716
107	86	716
108	86	711
109	87	705
110	87	700
111	87	695
112	87	690
113	88	685
114	88	680
115	88	675
116	88	670
117	89	665
118	89	661
119	89	656
120	89	652
121	89	647
122	90	643
123	90	638
124	90	634
125	90	630
126	91	626
127	91	623
128	91	619
129	92	615
130	92	612
131	92	608
132	92	605
133	93	601
134	93	598
135	93	594
136	93	590
137	94	587
138	94	583
139	94	580
140	94	577
141	94	573
142	95	570
143	95	567
144	95	563
145	95	560
146	96	557
147	96	554
148	96	551
149	96	548
150	97	545
151	97	543
152	97	540
153	97	537
154	98	534
155	98	531
156	98	529
157	98	526
158	98	523
159	99	520
160	99	517
161	99	514
162	99	512
163	100	509
164	100	507
165	100	504
166	100	502
167	100	499
168	101	497
169	101	495
170	101	492
171	101	490
172	102	488
173	102	486
174	102	483
175	102	481
176	103	479
177	103	476
178	103	474
179	103	472
180	103	470
181	104	468
182	104	466
183	104	464
184	104	462
185	105	460
186	105	458
187	105	456
188	105	454
189	106	452
190	106	450
191	106	449
192	107	447
193	107	445
194	107	444
195	107	442
196	108	441
197	108	439
198	108	437
199	108	435
200	109	433
201	109	432
202	109	430
203	109	428
204	110	426
205	110	425
206	110	423
207	110	422
208	111	420
209	111	419
210	111	417
211	111	415
212	112	414
213	112	412
214	112	411
215	112	409
216	113	408
217	113	406
218	113	405
219	113	403
220	114	401
221	114	400
222	114	398
223	114	397
224	114	396
225	115	394
226	115	393
227	115	391
228	115	390
229	116	388
230	116	387
231	116	385
232	116	384
233	117	383
234	117	381
235	117	380
236	117	378
237	117	377
238	118	376
239	118	374
240	118	373
241	118	372
242	119	371
243	119	369
244	119	368
245	119	367
246	120	365
247	120	364
248	120	363
249	120	362
250	120	360
251	121	359
252	121	358
253	121	357
254	122	356
255	122	355
256	122	354
257	122	353
258	123	351
259	123	350
260	123	350
261	123	349
262	124	348
263	124	347
264	124	346
265	125	345
266	125	344
267	125	343
268	125	342
269	126	341
270	126	340
271	126	338
272	126	337
273	127	336
274	127	335
275	127	334
276	127	333
277	128	332
278	128	331
279	128	330
280	128	329
281	128	328
282	129	327
283	129	326
284	129	325
285	129	324
286	130	323
287	130	322
288	130	321
289	130	320
290	131	319
291	131	318
292	131	317
293	131	316
294	132	315
295	132	314
296	132	313
297	132	312
298	132	311
299	133	310
300	133	310
301	133	309
302	134	308
303	134	307
304	134	306
305	134	305
306	134	304
307	135	303
308	135	302
309	135	301
310	135	301
311	136	300
312	136	299
313	136	298
314	136	297
315	137	296
316	137	296
317	137	295
318	137	294
319	138	293
320	138	292
321	138	291
322	138	291
323	139	290
324	139	289
325	139	288
326	139	287
327	140	287
328	140	286
329	140	285
330	140	284
331	141	284
332	141	283
333	141	282
334	141	281
335	142	281
336	142	280
337	142	279
338	142	278
339	143	277
340	143	277
341	143	276
342	143	275
343	144	274
344	144	273
345	144	273
346	144	272
347	145	271
348	145	270
349	145	270
350	145	269
351	145	268
352	146	268
353	146	267
354	146	266
355	146	265
356	147	265
357	147	264
358	147	263
359	148	263
360	148	262
361	148	261
362	148	261
363	148	260
364	149	259
365	149	258
366	149	258
367	149	257
368	150	256
369	150	255
370	150	255
371	150	254
372	151	253
373	151	253
374	151	252
375	151	251
376	151	251
377	152	250
378	152	249
379	152	249
380	152	248
381	153	247
382	153	247
383	153	246
384	153	245
385	154	245
386	154	244
387	154	244
388	154	243
389	155	242
390	155	242
391	155	241
392	156	241
393	156	240
394	156	240
395	157	239
396	157	238
397	157	238
398	157	237
399	158	237
400	158	236
401	158	236
402	159	235
403	159	235
404	159	234
405	160	234
406	160	233
407	160	232
408	160	232
409	160	231
410	161	231
411	161	230
412	161	229
413	162	229
414	162	228
415	162	228
416	162	227
417	162	226
418	163	226
419	163	225
420	163	225
421	163	224
422	164	223
423	164	223
424	164	222
425	164	222
426	165	221
427	165	221
428	165	220
429	165	219
430	166	219
431	166	218
432	166	218
433	166	217
434	167	217
435	167	216
436	167	215
437	167	215
438	168	214
439	168	214
440	168	213
441	168	213
442	169	212
443	169	211
444	169	211
445	169	210
446	170	210
447	170	210
448	170	209
449	171	209
450	171	208
451	171	208
452	172	207
453	172	207
454	172	206
455	172	206
456	173	205
457	173	205
458	173	204
459	173	204
460	174	203
461	174	203
462	174	202
463	175	202
464	175	201
465	175	201
466	175	200
467	176	200
468	176	199
469	176	199
470	176	198
471	177	198
472	177	197
473	177	196
474	177	196
475	177	195
476	178	195
477	178	194
478	178	194
479	178	193
480	179	193
481	179	192
482	179	192
483	179	191
484	180	191
485	180	190
486	180	190
487	180	189
488	181	189
